"year_month","customer_id","monthly_rfm_score","segment"
"2017-12-01 00:00:00+07","FM-14215","143","Lost Customers"
"2017-12-01 00:00:00+07","JB-15400","123","Lost Customers"
"2017-12-01 00:00:00+07","GZ-14470","155","Lost Customers"
"2017-12-01 00:00:00+07","JB-16045","155","Lost Customers"
"2017-12-01 00:00:00+07","MF-18250","111","High Value"
"2017-12-01 00:00:00+07","DK-12985","122","Lost Customers"
"2017-12-01 00:00:00+07","TP-21130","111","High Value"
"2017-12-01 00:00:00+07","SR-20425","143","Lost Customers"
"2017-12-01 00:00:00+07","CM-12190","132","Lost Customers"
"2017-12-01 00:00:00+07","SK-19990","132","Lost Customers"
"2017-12-01 00:00:00+07","JL-15130","111","High Value"
"2017-12-01 00:00:00+07","CM-12115","132","Lost Customers"
"2017-12-01 00:00:00+07","JM-15655","113","High Value"
"2017-12-01 00:00:00+07","SG-20080","131","Lost Customers"
"2017-12-01 00:00:00+07","AG-10330","112","High Value"
"2017-12-01 00:00:00+07","JP-15520","111","High Value"
"2017-12-01 00:00:00+07","LP-17095","142","Lost Customers"
"2017-12-01 00:00:00+07","PK-19075","155","Lost Customers"
"2017-12-01 00:00:00+07","DB-13210","112","High Value"
"2017-12-01 00:00:00+07","RB-19465","123","Lost Customers"
"2017-12-01 00:00:00+07","BN-11515","125","Lost Customers"
"2017-12-01 00:00:00+07","SE-20110","143","Lost Customers"
"2017-12-01 00:00:00+07","YS-21880","131","Lost Customers"
"2017-12-01 00:00:00+07","BD-11635","144","Lost Customers"
"2017-12-01 00:00:00+07","DK-13150","122","Lost Customers"
"2017-12-01 00:00:00+07","DK-13225","125","Lost Customers"
"2017-12-01 00:00:00+07","TS-21505","123","Lost Customers"
"2017-12-01 00:00:00+07","AC-10450","131","Lost Customers"
"2017-12-01 00:00:00+07","TT-21460","155","Lost Customers"
"2017-12-01 00:00:00+07","DB-13660","155","Lost Customers"
"2017-12-01 00:00:00+07","DJ-13630","111","High Value"
"2017-12-01 00:00:00+07","AH-10030","155","Lost Customers"
"2017-12-01 00:00:00+07","RA-19915","122","Lost Customers"
"2017-12-01 00:00:00+07","HE-14800","133","Lost Customers"
"2017-12-01 00:00:00+07","BP-11290","113","High Value"
"2017-12-01 00:00:00+07","EP-13915","112","High Value"
"2017-12-01 00:00:00+07","LC-17140","114","High Value"
"2017-12-01 00:00:00+07","AI-10855","132","Lost Customers"
"2017-12-01 00:00:00+07","AT-10735","122","Lost Customers"
"2017-12-01 00:00:00+07","HR-14770","155","Lost Customers"
"2017-12-01 00:00:00+07","CA-12310","112","High Value"
"2017-12-01 00:00:00+07","VF-21715","155","Lost Customers"
"2017-12-01 00:00:00+07","GB-14575","132","Lost Customers"
"2017-12-01 00:00:00+07","AR-10510","155","Lost Customers"
"2017-12-01 00:00:00+07","RD-19810","154","Lost Customers"
"2017-12-01 00:00:00+07","KM-16225","112","High Value"
"2017-12-01 00:00:00+07","AY-10555","113","High Value"
"2017-12-01 00:00:00+07","KM-16660","123","Lost Customers"
"2017-12-01 00:00:00+07","SS-20140","155","Lost Customers"
"2017-12-01 00:00:00+07","PL-18925","155","Lost Customers"
"2017-12-01 00:00:00+07","DB-13060","112","High Value"
"2017-12-01 00:00:00+07","BF-11170","111","High Value"
"2017-12-01 00:00:00+07","KL-16555","123","Lost Customers"
"2017-12-01 00:00:00+07","MP-18175","113","High Value"
"2017-12-01 00:00:00+07","LC-16885","131","Lost Customers"
"2017-12-01 00:00:00+07","GM-14455","123","Lost Customers"
"2017-12-01 00:00:00+07","MW-18220","154","Lost Customers"
"2017-12-01 00:00:00+07","BP-11095","142","Lost Customers"
"2017-12-01 00:00:00+07","RS-19870","125","Lost Customers"
"2017-12-01 00:00:00+07","DK-13375","155","Lost Customers"
"2017-12-01 00:00:00+07","AS-10285","143","Lost Customers"
"2017-12-01 00:00:00+07","RB-19435","111","High Value"
"2017-12-01 00:00:00+07","KN-16390","143","Lost Customers"
"2017-12-01 00:00:00+07","RR-19315","122","Lost Customers"
"2017-12-01 00:00:00+07","AA-10375","123","Lost Customers"
"2017-12-01 00:00:00+07","MV-18190","124","Lost Customers"
"2017-12-01 00:00:00+07","NB-18655","155","Lost Customers"
"2017-12-01 00:00:00+07","DV-13045","111","High Value"
"2017-12-01 00:00:00+07","WB-21850","134","Lost Customers"
"2017-12-01 00:00:00+07","AW-10840","122","Lost Customers"
"2017-12-01 00:00:00+07","JE-16165","155","Lost Customers"
"2017-12-01 00:00:00+07","CC-12220","132","Lost Customers"
"2017-12-01 00:00:00+07","BT-11680","155","Lost Customers"
"2017-12-01 00:00:00+07","HA-14920","155","Lost Customers"
"2017-12-01 00:00:00+07","LS-16975","154","Lost Customers"
"2017-12-01 00:00:00+07","SU-20665","112","High Value"
"2017-12-01 00:00:00+07","AT-10435","121","Lost Customers"
"2017-12-01 00:00:00+07","DK-12835","111","High Value"
"2017-12-01 00:00:00+07","AH-10585","155","Lost Customers"
"2017-12-01 00:00:00+07","LW-17215","144","Lost Customers"
"2017-12-01 00:00:00+07","JL-15835","111","High Value"
"2017-12-01 00:00:00+07","RD-19720","155","Lost Customers"
"2017-12-01 00:00:00+07","LE-16810","132","Lost Customers"
"2017-12-01 00:00:00+07","HF-14995","134","Lost Customers"
"2017-12-01 00:00:00+07","DB-12910","123","Lost Customers"
"2017-12-01 00:00:00+07","LH-16900","143","Lost Customers"
"2017-12-01 00:00:00+07","MJ-17740","134","Lost Customers"
"2017-12-01 00:00:00+07","DL-13315","112","High Value"
"2017-12-01 00:00:00+07","CW-11905","132","Lost Customers"
"2017-12-01 00:00:00+07","EG-13900","143","Lost Customers"
"2017-12-01 00:00:00+07","LF-17185","123","Lost Customers"
"2017-12-01 00:00:00+07","DM-13345","113","High Value"
"2017-12-01 00:00:00+07","AS-10225","144","Lost Customers"
"2017-12-01 00:00:00+07","KH-16510","111","High Value"
"2017-12-01 00:00:00+07","SH-20395","143","Lost Customers"
"2017-12-01 00:00:00+07","BH-11710","122","Lost Customers"
"2017-12-01 00:00:00+07","HG-14965","131","Lost Customers"
"2017-12-01 00:00:00+07","DC-13285","144","Lost Customers"
"2017-12-01 00:00:00+07","DS-13180","125","Lost Customers"
"2017-12-01 00:00:00+07","FP-14320","142","Lost Customers"
"2017-12-01 00:00:00+07","BN-11470","155","Lost Customers"
"2017-12-01 00:00:00+07","SM-20950","122","Lost Customers"
"2017-12-01 00:00:00+07","PB-18805","112","High Value"
"2017-12-01 00:00:00+07","BF-11080","134","Lost Customers"
"2017-12-01 00:00:00+07","QJ-19255","143","Lost Customers"
"2017-12-01 00:00:00+07","RB-19570","123","Lost Customers"
"2017-12-01 00:00:00+07","NP-18325","144","Lost Customers"
"2017-12-01 00:00:00+07","CS-11950","134","Lost Customers"
"2017-12-01 00:00:00+07","AB-10165","134","Lost Customers"
"2017-12-01 00:00:00+07","LR-16915","132","Lost Customers"
"2017-12-01 00:00:00+07","LT-16765","144","Lost Customers"
"2017-12-01 00:00:00+07","CM-12160","155","Lost Customers"
"2017-12-01 00:00:00+07","CS-12250","155","Lost Customers"
"2017-12-01 00:00:00+07","KE-16420","155","Lost Customers"
"2017-12-01 00:00:00+07","MS-17980","112","High Value"
"2017-12-01 00:00:00+07","CB-12415","144","Lost Customers"
"2017-12-01 00:00:00+07","DO-13645","122","Lost Customers"
"2017-12-01 00:00:00+07","MV-17485","155","Lost Customers"
"2017-12-01 00:00:00+07","MC-17575","114","High Value"
"2017-12-01 00:00:00+07","LC-16870","112","High Value"
"2017-12-01 00:00:00+07","TC-21295","143","Lost Customers"
"2017-12-01 00:00:00+07","CC-12550","114","High Value"
"2017-12-01 00:00:00+07","CM-12655","132","Lost Customers"
"2017-12-01 00:00:00+07","CS-12460","113","High Value"
"2017-12-01 00:00:00+07","ND-18370","144","Lost Customers"
"2017-12-01 00:00:00+07","BS-11380","111","High Value"
"2017-12-01 00:00:00+07","JK-16090","131","Lost Customers"
"2017-12-01 00:00:00+07","ES-14080","133","Lost Customers"
"2017-12-01 00:00:00+07","JS-16030","122","Lost Customers"
"2017-12-01 00:00:00+07","BB-11545","121","Lost Customers"
"2017-12-01 00:00:00+07","ME-17725","132","Lost Customers"
"2017-12-01 00:00:00+07","KM-16720","121","Lost Customers"
"2017-12-01 00:00:00+07","AM-10360","113","High Value"
"2017-12-01 00:00:00+07","VW-21775","112","High Value"
"2017-12-01 00:00:00+07","RP-19855","155","Lost Customers"
"2017-12-01 00:00:00+07","AS-10090","154","Lost Customers"
"2017-12-01 00:00:00+07","GW-14605","132","Lost Customers"
"2017-12-01 00:00:00+07","BG-11035","154","Lost Customers"
"2017-12-01 00:00:00+07","MK-17905","144","Lost Customers"
"2017-12-01 00:00:00+07","SC-20305","122","Lost Customers"
"2017-12-01 00:00:00+07","MY-17380","155","Lost Customers"
"2017-12-01 00:00:00+07","CC-12670","123","Lost Customers"
"2017-12-01 00:00:00+07","AD-10180","131","Lost Customers"
"2017-12-01 00:00:00+07","SJ-20215","132","Lost Customers"
"2017-12-01 00:00:00+07","SH-19975","122","Lost Customers"
"2017-12-01 00:00:00+07","ML-17755","132","Lost Customers"
"2017-12-01 00:00:00+07","SO-20335","123","Lost Customers"
"2017-12-01 00:00:00+07","JH-15985","112","High Value"
"2017-12-01 00:00:00+07","MG-17650","155","Lost Customers"
"2017-12-01 00:00:00+07","DV-13465","111","High Value"
"2017-11-01 00:00:00+07","MZ-17335","155","Lost Customers"
"2017-11-01 00:00:00+07","SC-20800","155","Lost Customers"
"2017-11-01 00:00:00+07","PN-18775","133","Lost Customers"
"2017-11-01 00:00:00+07","HP-14815","131","Lost Customers"
"2017-11-01 00:00:00+07","SC-20380","131","Lost Customers"
"2017-11-01 00:00:00+07","TB-21625","131","Lost Customers"
"2017-11-01 00:00:00+07","ML-17755","122","Lost Customers"
"2017-11-01 00:00:00+07","SW-20275","121","Lost Customers"
"2017-11-01 00:00:00+07","VP-21730","111","High Value"
"2017-11-01 00:00:00+07","ME-17725","143","Lost Customers"
"2017-11-01 00:00:00+07","BP-11095","144","Lost Customers"
"2017-11-01 00:00:00+07","TT-21070","111","High Value"
"2017-11-01 00:00:00+07","RB-19795","111","High Value"
"2017-11-01 00:00:00+07","LS-16975","111","High Value"
"2017-11-01 00:00:00+07","EP-13915","111","High Value"
"2017-11-01 00:00:00+07","RH-19495","144","Lost Customers"
"2017-11-01 00:00:00+07","DG-13300","131","Lost Customers"
"2017-11-01 00:00:00+07","RP-19390","133","Lost Customers"
"2017-11-01 00:00:00+07","JR-16210","132","Lost Customers"
"2017-11-01 00:00:00+07","LW-16990","111","High Value"
"2017-11-01 00:00:00+07","BM-11650","111","High Value"
"2017-11-01 00:00:00+07","DB-13615","134","Lost Customers"
"2017-11-01 00:00:00+07","DO-13645","144","Lost Customers"
"2017-11-01 00:00:00+07","BD-11320","123","Lost Customers"
"2017-11-01 00:00:00+07","AH-10075","155","Lost Customers"
"2017-11-01 00:00:00+07","FG-14260","133","Lost Customers"
"2017-11-01 00:00:00+07","TT-21460","111","High Value"
"2017-11-01 00:00:00+07","LT-17110","143","Lost Customers"
"2017-11-01 00:00:00+07","LS-17245","133","Lost Customers"
"2017-11-01 00:00:00+07","GT-14755","154","Lost Customers"
"2017-11-01 00:00:00+07","MN-17935","111","High Value"
"2017-11-01 00:00:00+07","CC-12610","133","Lost Customers"
"2017-11-01 00:00:00+07","TZ-21580","155","Lost Customers"
"2017-11-01 00:00:00+07","HZ-14950","131","Lost Customers"
"2017-11-01 00:00:00+07","BD-11500","122","Lost Customers"
"2017-11-01 00:00:00+07","SZ-20035","132","Lost Customers"
"2017-11-01 00:00:00+07","EB-13750","122","Lost Customers"
"2017-11-01 00:00:00+07","RO-19780","111","High Value"
"2017-11-01 00:00:00+07","BS-11590","132","Lost Customers"
"2017-11-01 00:00:00+07","DL-13315","144","Lost Customers"
"2017-11-01 00:00:00+07","RS-19765","122","Lost Customers"
"2017-11-01 00:00:00+07","JL-15835","143","Lost Customers"
"2017-11-01 00:00:00+07","BG-11695","154","Lost Customers"
"2017-11-01 00:00:00+07","MD-17860","155","Lost Customers"
"2017-11-01 00:00:00+07","TS-21370","121","Lost Customers"
"2017-11-01 00:00:00+07","FM-14290","111","High Value"
"2017-11-01 00:00:00+07","JG-15310","155","Lost Customers"
"2017-11-01 00:00:00+07","BP-11290","132","Lost Customers"
"2017-11-01 00:00:00+07","MV-17485","132","Lost Customers"
"2017-11-01 00:00:00+07","MY-17380","124","Lost Customers"
"2017-11-01 00:00:00+07","SC-20440","122","Lost Customers"
"2017-11-01 00:00:00+07","GT-14710","155","Lost Customers"
"2017-11-01 00:00:00+07","PR-18880","155","Lost Customers"
"2017-11-01 00:00:00+07","KA-16525","111","High Value"
"2017-11-01 00:00:00+07","PG-18820","124","Lost Customers"
"2017-11-01 00:00:00+07","JM-15265","122","Lost Customers"
"2017-11-01 00:00:00+07","JM-15250","113","High Value"
"2017-11-01 00:00:00+07","AH-10210","143","Lost Customers"
"2017-11-01 00:00:00+07","DC-12850","155","Lost Customers"
"2017-11-01 00:00:00+07","CS-12250","155","Lost Customers"
"2017-11-01 00:00:00+07","TD-20995","124","Lost Customers"
"2017-11-01 00:00:00+07","CM-12385","123","Lost Customers"
"2017-11-01 00:00:00+07","FH-14275","121","Lost Customers"
"2017-11-01 00:00:00+07","JP-15460","113","High Value"
"2017-11-01 00:00:00+07","FO-14305","134","Lost Customers"
"2017-11-01 00:00:00+07","BF-11005","111","High Value"
"2017-11-01 00:00:00+07","PJ-18835","114","High Value"
"2017-11-01 00:00:00+07","BP-11230","144","Lost Customers"
"2017-11-01 00:00:00+07","CK-12205","121","Lost Customers"
"2017-11-01 00:00:00+07","CC-12475","134","Lost Customers"
"2017-11-01 00:00:00+07","KH-16330","112","High Value"
"2017-11-01 00:00:00+07","BT-11680","124","Lost Customers"
"2017-11-01 00:00:00+07","JH-15430","113","High Value"
"2017-11-01 00:00:00+07","HG-15025","155","Lost Customers"
"2017-11-01 00:00:00+07","LP-17080","133","Lost Customers"
"2017-11-01 00:00:00+07","CD-11920","111","High Value"
"2017-11-01 00:00:00+07","SC-20050","155","Lost Customers"
"2017-11-01 00:00:00+07","ES-14020","143","Lost Customers"
"2017-11-01 00:00:00+07","AB-10105","131","Lost Customers"
"2017-11-01 00:00:00+07","LC-16930","142","Lost Customers"
"2017-11-01 00:00:00+07","AS-10135","134","Lost Customers"
"2017-11-01 00:00:00+07","JD-16150","121","Lost Customers"
"2017-11-01 00:00:00+07","DD-13570","155","Lost Customers"
"2017-11-01 00:00:00+07","SC-20770","121","Lost Customers"
"2017-11-01 00:00:00+07","JH-15910","143","Lost Customers"
"2017-11-01 00:00:00+07","MC-18100","122","Lost Customers"
"2017-11-01 00:00:00+07","RB-19435","155","Lost Customers"
"2017-11-01 00:00:00+07","KD-16345","154","Lost Customers"
"2017-11-01 00:00:00+07","NC-18415","121","Lost Customers"
"2017-11-01 00:00:00+07","AB-10150","113","High Value"
"2017-11-01 00:00:00+07","AP-10720","123","Lost Customers"
"2017-11-01 00:00:00+07","AF-10870","123","Lost Customers"
"2017-11-01 00:00:00+07","CD-12280","111","High Value"
"2017-11-01 00:00:00+07","ME-17320","123","Lost Customers"
"2017-11-01 00:00:00+07","RD-19930","123","Lost Customers"
"2017-11-01 00:00:00+07","DK-13090","111","High Value"
"2017-11-01 00:00:00+07","NB-18655","113","High Value"
"2017-11-01 00:00:00+07","JS-15685","112","High Value"
"2017-11-01 00:00:00+07","JW-15220","154","Lost Customers"
"2017-11-01 00:00:00+07","JB-16000","122","Lost Customers"
"2017-11-01 00:00:00+07","EG-13900","143","Lost Customers"
"2017-11-01 00:00:00+07","RA-19885","122","Lost Customers"
"2017-11-01 00:00:00+07","CS-12355","114","High Value"
"2017-11-01 00:00:00+07","GG-14650","124","Lost Customers"
"2017-11-01 00:00:00+07","XP-21865","123","Lost Customers"
"2017-11-01 00:00:00+07","VW-21775","131","Lost Customers"
"2017-11-01 00:00:00+07","CC-12370","123","Lost Customers"
"2017-11-01 00:00:00+07","CK-12595","111","High Value"
"2017-11-01 00:00:00+07","HL-15040","131","Lost Customers"
"2017-11-01 00:00:00+07","EK-13795","155","Lost Customers"
"2017-11-01 00:00:00+07","BS-11380","121","Lost Customers"
"2017-11-01 00:00:00+07","MH-18115","144","Lost Customers"
"2017-11-01 00:00:00+07","CM-12190","143","Lost Customers"
"2017-11-01 00:00:00+07","JK-15370","144","Lost Customers"
"2017-11-01 00:00:00+07","MW-18235","131","Lost Customers"
"2017-11-01 00:00:00+07","CB-12415","143","Lost Customers"
"2017-11-01 00:00:00+07","MB-18085","155","Lost Customers"
"2017-11-01 00:00:00+07","LC-16885","133","Lost Customers"
"2017-11-01 00:00:00+07","CC-12220","112","High Value"
"2017-11-01 00:00:00+07","DK-12895","132","Lost Customers"
"2017-11-01 00:00:00+07","PW-19030","144","Lost Customers"
"2017-11-01 00:00:00+07","JE-15715","154","Lost Customers"
"2017-11-01 00:00:00+07","TC-21295","135","Lost Customers"
"2017-11-01 00:00:00+07","AW-10930","155","Lost Customers"
"2017-11-01 00:00:00+07","KB-16600","132","Lost Customers"
"2017-11-01 00:00:00+07","AD-10180","143","Lost Customers"
"2017-11-01 00:00:00+07","EM-14065","155","Lost Customers"
"2017-11-01 00:00:00+07","KL-16645","155","Lost Customers"
"2017-11-01 00:00:00+07","CB-12025","143","Lost Customers"
"2017-11-01 00:00:00+07","SP-20620","123","Lost Customers"
"2017-11-01 00:00:00+07","CS-12400","143","Lost Customers"
"2017-11-01 00:00:00+07","SB-20290","111","High Value"
"2017-11-01 00:00:00+07","KE-16420","133","Lost Customers"
"2017-11-01 00:00:00+07","SE-20110","144","Lost Customers"
"2017-11-01 00:00:00+07","LB-16735","155","Lost Customers"
"2017-11-01 00:00:00+07","EM-14140","111","High Value"
"2017-11-01 00:00:00+07","NG-18430","111","High Value"
"2017-11-01 00:00:00+07","JE-15610","132","Lost Customers"
"2017-11-01 00:00:00+07","DB-13120","155","Lost Customers"
"2017-11-01 00:00:00+07","DJ-13510","124","Lost Customers"
"2017-11-01 00:00:00+07","EB-13705","155","Lost Customers"
"2017-11-01 00:00:00+07","NG-18355","142","Lost Customers"
"2017-11-01 00:00:00+07","SF-20965","135","Lost Customers"
"2017-11-01 00:00:00+07","DK-13375","143","Lost Customers"
"2017-11-01 00:00:00+07","MB-17305","134","Lost Customers"
"2017-11-01 00:00:00+07","JL-15505","155","Lost Customers"
"2017-11-01 00:00:00+07","TB-21190","134","Lost Customers"
"2017-11-01 00:00:00+07","MH-18025","144","Lost Customers"
"2017-11-01 00:00:00+07","GA-14725","123","Lost Customers"
"2017-11-01 00:00:00+07","MT-17815","154","Lost Customers"
"2017-11-01 00:00:00+07","WB-21850","144","Lost Customers"
"2017-11-01 00:00:00+07","BB-11545","131","Lost Customers"
"2017-11-01 00:00:00+07","CG-12040","155","Lost Customers"
"2017-11-01 00:00:00+07","NC-18535","155","Lost Customers"
"2017-11-01 00:00:00+07","DR-12940","155","Lost Customers"
"2017-11-01 00:00:00+07","GH-14425","143","Lost Customers"
"2017-11-01 00:00:00+07","MC-17845","122","Lost Customers"
"2017-11-01 00:00:00+07","AB-10600","111","High Value"
"2017-11-01 00:00:00+07","MC-17590","133","Lost Customers"
"2017-11-01 00:00:00+07","PM-19135","122","Lost Customers"
"2017-11-01 00:00:00+07","JE-15745","144","Lost Customers"
"2017-11-01 00:00:00+07","JB-15400","143","Lost Customers"
"2017-11-01 00:00:00+07","SR-20425","133","Lost Customers"
"2017-11-01 00:00:00+07","KN-16450","143","Lost Customers"
"2017-11-01 00:00:00+07","KN-16390","143","Lost Customers"
"2017-11-01 00:00:00+07","PK-19075","144","Lost Customers"
"2017-11-01 00:00:00+07","DB-13270","131","Lost Customers"
"2017-11-01 00:00:00+07","EC-14050","154","Lost Customers"
"2017-11-01 00:00:00+07","FP-14320","155","Lost Customers"
"2017-11-01 00:00:00+07","TS-21505","132","Lost Customers"
"2017-11-01 00:00:00+07","RB-19705","155","Lost Customers"
"2017-11-01 00:00:00+07","HG-14845","155","Lost Customers"
"2017-11-01 00:00:00+07","ZC-21910","125","Lost Customers"
"2017-11-01 00:00:00+07","ML-17410","133","Lost Customers"
"2017-11-01 00:00:00+07","VM-21685","144","Lost Customers"
"2017-11-01 00:00:00+07","JF-15565","111","High Value"
"2017-11-01 00:00:00+07","LC-17050","155","Lost Customers"
"2017-11-01 00:00:00+07","AB-10060","111","High Value"
"2017-11-01 00:00:00+07","CD-11980","142","Lost Customers"
"2017-11-01 00:00:00+07","CC-12430","134","Lost Customers"
"2017-11-01 00:00:00+07","VB-21745","155","Lost Customers"
"2017-11-01 00:00:00+07","TS-21610","133","Lost Customers"
"2017-11-01 00:00:00+07","AH-10195","155","Lost Customers"
"2017-11-01 00:00:00+07","EM-13825","132","Lost Customers"
"2017-11-01 00:00:00+07","AA-10645","155","Lost Customers"
"2017-11-01 00:00:00+07","SV-20935","142","Lost Customers"
"2017-11-01 00:00:00+07","KL-16555","131","Lost Customers"
"2017-11-01 00:00:00+07","KM-16375","155","Lost Customers"
"2017-11-01 00:00:00+07","JL-15175","155","Lost Customers"
"2017-11-01 00:00:00+07","CA-12265","113","High Value"
"2017-11-01 00:00:00+07","GT-14635","131","Lost Customers"
"2017-11-01 00:00:00+07","HG-14965","133","Lost Customers"
"2017-11-01 00:00:00+07","BG-11740","132","Lost Customers"
"2017-11-01 00:00:00+07","PG-18895","154","Lost Customers"
"2017-11-01 00:00:00+07","JC-16105","155","Lost Customers"
"2017-11-01 00:00:00+07","KC-16675","132","Lost Customers"
"2017-11-01 00:00:00+07","JM-16195","155","Lost Customers"
"2017-11-01 00:00:00+07","BF-11275","142","Lost Customers"
"2017-11-01 00:00:00+07","PB-19105","144","Lost Customers"
"2017-11-01 00:00:00+07","DM-13015","155","Lost Customers"
"2017-11-01 00:00:00+07","DL-13330","144","Lost Customers"
"2017-11-01 00:00:00+07","EJ-14155","144","Lost Customers"
"2017-11-01 00:00:00+07","JO-15145","155","Lost Customers"
"2017-11-01 00:00:00+07","CR-12580","131","Lost Customers"
"2017-11-01 00:00:00+07","DL-12925","114","High Value"
"2017-11-01 00:00:00+07","BG-11035","155","Lost Customers"
"2017-11-01 00:00:00+07","CS-12505","143","Lost Customers"
"2017-11-01 00:00:00+07","AR-10825","142","Lost Customers"
"2017-11-01 00:00:00+07","KM-16225","134","Lost Customers"
"2017-11-01 00:00:00+07","KH-16630","155","Lost Customers"
"2017-11-01 00:00:00+07","NP-18670","134","Lost Customers"
"2017-11-01 00:00:00+07","TB-21175","111","High Value"
"2017-11-01 00:00:00+07","TH-21115","111","High Value"
"2017-11-01 00:00:00+07","NL-18310","111","High Value"
"2017-11-01 00:00:00+07","SF-20200","131","Lost Customers"
"2017-11-01 00:00:00+07","SF-20065","133","Lost Customers"
"2017-10-01 00:00:00+07","AH-10120","155","Lost Customers"
"2017-10-01 00:00:00+07","CY-12745","132","Lost Customers"
"2017-10-01 00:00:00+07","JW-15220","111","High Value"
"2017-10-01 00:00:00+07","JK-15625","111","High Value"
"2017-10-01 00:00:00+07","RD-19810","113","High Value"
"2017-10-01 00:00:00+07","MC-18100","112","High Value"
"2017-10-01 00:00:00+07","RA-19945","122","Lost Customers"
"2017-10-01 00:00:00+07","MM-18055","133","Lost Customers"
"2017-10-01 00:00:00+07","JK-15205","111","High Value"
"2017-10-01 00:00:00+07","GB-14530","144","Lost Customers"
"2017-10-01 00:00:00+07","SA-20830","155","Lost Customers"
"2017-10-01 00:00:00+07","KH-16510","114","High Value"
"2017-10-01 00:00:00+07","LO-17170","144","Lost Customers"
"2017-10-01 00:00:00+07","JM-15250","123","Lost Customers"
"2017-10-01 00:00:00+07","TW-21025","144","Lost Customers"
"2017-10-01 00:00:00+07","JO-15145","132","Lost Customers"
"2017-10-01 00:00:00+07","SH-19975","135","Lost Customers"
"2017-10-01 00:00:00+07","NB-18655","114","High Value"
"2017-10-01 00:00:00+07","MA-17560","113","High Value"
"2017-10-01 00:00:00+07","JM-15655","133","Lost Customers"
"2017-10-01 00:00:00+07","JF-15190","123","Lost Customers"
"2017-10-01 00:00:00+07","PG-18895","135","Lost Customers"
"2017-10-01 00:00:00+07","BF-11215","144","Lost Customers"
"2017-10-01 00:00:00+07","SC-20440","133","Lost Customers"
"2017-10-01 00:00:00+07","OT-18730","132","Lost Customers"
"2017-10-01 00:00:00+07","PO-18850","122","Lost Customers"
"2017-10-01 00:00:00+07","CS-11950","155","Lost Customers"
"2017-10-01 00:00:00+07","JC-16105","113","High Value"
"2017-10-01 00:00:00+07","AH-10075","111","High Value"
"2017-10-01 00:00:00+07","JR-15700","131","Lost Customers"
"2017-10-01 00:00:00+07","RB-19330","112","High Value"
"2017-10-01 00:00:00+07","DM-13015","111","High Value"
"2017-10-01 00:00:00+07","TA-21385","111","High Value"
